,Denominator,Numerator,Weighted % ,"Lower 95%
Confidence Interval","Upper 95%
Confidence Interval",Year,Health Care Services,Sites,State,Region,Stabr
23,1206,864,71.9,68.7,74.9,2017,Health care visit in the 12 months before pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
24,1090,797,72.6,69.5,75.5,2017,Health care visit in the 12 months before pregnancy ,Rhode Island,Rhode Island,Northeast,RI
25,1099,687,71.6,68.7,74.4,2017,Health care visit in the 12 months before pregnancy ,South Dakota,South Dakota,Midwest,SD
26,1436,984,73.6,70.8,76.2,2017,Health care visit in the 12 months before pregnancy ,Utah,Utah,West,UT
27,840,674,77.0,73.8,80.0,2017,Health care visit in the 12 months before pregnancy ,Vermont,Vermont,Northeast,VT
28,1057,726,63.1,58.2,67.8,2017,Health care visit in the 12 months before pregnancy ,Virginia,Virginia,South,VA
29,1223,764,65.1,61.8,68.2,2017,Health care visit in the 12 months before pregnancy ,Washington,Washington,West,WA
30,689,413,60.8,56.3,65.1,2017,Health care visit in the 12 months before pregnancy ,West Virginia,West Virginia,South,WV
31,1333,880,71.7,68.0,75.1,2017,Health care visit in the 12 months before pregnancy ,Wisconsin,Wisconsin,Midwest,WI
32,499,340,70.5,65.6,75.0,2017,Health care visit in the 12 months before pregnancy ,Wyoming,Wyoming,West,WY
33,859,719,83.0,80.2,85.5,2017,Began prenatal care in 1st trimester,Alabama,Alabama,South,AL
34,1014,859,85.7,82.9,88.2,2017,Began prenatal care in 1st trimester,Alaska,Alaska,West,AK
35,1101,990,89.4,87.1,91.3,2017,Began prenatal care in 1st trimester,Colorado,Colorado,West,CO
36,1431,1271,91.5,89.8,92.9,2017,Began prenatal care in 1st trimester,Connecticut,Connecticut,Northeast,CT
37,878,730,83.2,80.4,85.6,2017,Began prenatal care in 1st trimester,Delaware,Delaware,South,DE
38,924,813,87.0,83.4,89.9,2017,Began prenatal care in 1st trimester,Georgia,Georgia,South,GA
39,1205,1066,88.4,86.2,90.3,2017,Began prenatal care in 1st trimester,Illinois,Illinois,Midwest,IL
40,1005,828,86.2,82.7,89.1,2017,Began prenatal care in 1st trimester,Iowa,Iowa,Midwest,IA
41,981,862,85.7,82.4,88.5,2017,Began prenatal care in 1st trimester,Kansas,Kansas,Midwest,KS
42,678,588,88.2,84.6,90.9,2017,Began prenatal care in 1st trimester,Kentucky,Kentucky,South,KY
43,865,740,86.5,84.0,88.7,2017,Began prenatal care in 1st trimester,Louisiana,Louisiana,South,LA
44,865,775,90.3,87.6,92.4,2017,Began prenatal care in 1st trimester,Maine,Maine,Northeast,ME
45,1035,874,84.4,81.8,86.8,2017,Began prenatal care in 1st trimester,Maryland,Maryland,South,MD
46,1386,1235,92.4,90.7,93.8,2017,Began prenatal care in 1st trimester,Massachusetts,Massachusetts,Northeast,MA
47,1844,1534,86.4,84.3,88.3,2017,Began prenatal care in 1st trimester,Michigan,Michigan,Midwest,MI
48,1089,927,84.9,82.2,87.3,2017,Began prenatal care in 1st trimester,Missouri,Missouri,Midwest,MO
49,927,794,86.7,84.5,88.7,2017,Began prenatal care in 1st trimester,Montana,Montana,West,MT
50,568,528,91.8,88.3,94.3,2017,Began prenatal care in 1st trimester,New Hampshire,New Hampshire,Northeast,NH
51,1208,1017,85.7,83.5,87.6,2017,Began prenatal care in 1st trimester,New Jersey,New Jersey,Northeast,NJ
52,1152,954,82.3,79.9,84.5,2017,Began prenatal care in 1st trimester,New Mexico,New Mexico,West,NM
53,974,836,87.4,84.7,89.7,2017,Began prenatal care in 1st trimester,North Carolina,North Carolina,South,NC
54,580,468,85.1,81.4,88.2,2017,Began prenatal care in 1st trimester,North Dakota,North Dakota,Midwest,ND
55,1590,1291,83.1,80.3,85.6,2017,Began prenatal care in 1st trimester,Oklahoma,Oklahoma,South,OK
56,1196,1045,86.8,84.3,89.0,2017,Began prenatal care in 1st trimester,Pennsylvania,Pennsylvania,Northeast,PA
57,1084,982,90.7,88.5,92.6,2017,Began prenatal care in 1st trimester,Rhode Island,Rhode Island,Northeast,RI
58,1111,911,86.3,84.0,88.3,2017,Began prenatal care in 1st trimester,South Dakota,South Dakota,Midwest,SD
59,1414,1225,86.7,84.3,88.8,2017,Began prenatal care in 1st trimester,Utah,Utah,West,UT
60,826,779,95.1,93.2,96.4,2017,Began prenatal care in 1st trimester,Vermont,Vermont,Northeast,VT
61,1063,922,84.4,80.4,87.7,2017,Began prenatal care in 1st trimester,Virginia,Virginia,South,VA
62,1220,1070,88.0,85.5,90.2,2017,Began prenatal care in 1st trimester,Washington,Washington,West,WA
63,673,583,88.6,85.4,91.2,2017,Began prenatal care in 1st trimester,West Virginia,West Virginia,South,WV
64,1311,1088,87.6,84.9,89.9,2017,Began prenatal care in 1st trimester,Wisconsin,Wisconsin,Midwest,WI
65,497,425,86.2,82.3,89.3,2017,Began prenatal care in 1st trimester,Wyoming,Wyoming,West,WY
66,863,419,47.4,43.9,50.9,2017,Had a flu shot in the 12 months before delivery,Alabama,Alabama,South,AL
67,1015,600,58.9,55.1,62.6,2017,Had a flu shot in the 12 months before delivery,Alaska,Alaska,West,AK
68,1113,757,69.4,66.5,72.2,2017,Had a flu shot in the 12 months before delivery,Colorado,Colorado,West,CO
69,1413,967,69.8,66.6,72.9,2017,Had a flu shot in the 12 months before delivery,Connecticut,Connecticut,Northeast,CT
70,877,492,56.8,53.4,60.2,2017,Had a flu shot in the 12 months before delivery,Delaware,Delaware,South,DE
71,929,417,42.2,37.7,46.8,2017,Had a flu shot in the 12 months before delivery,Georgia,Georgia,South,GA
72,1213,714,58.3,55.2,61.4,2017,Had a flu shot in the 12 months before delivery,Illinois,Illinois,Midwest,IL
73,1016,688,69.8,65.4,73.9,2017,Had a flu shot in the 12 months before delivery,Iowa,Iowa,Midwest,IA
74,975,639,65.9,62.0,69.7,2017,Had a flu shot in the 12 months before delivery,Kansas,Kansas,Midwest,KS
75,691,343,51.9,47.1,56.6,2017,Had a flu shot in the 12 months before delivery,Kentucky,Kentucky,South,KY
76,880,389,46.4,42.9,50.0,2017,Had a flu shot in the 12 months before delivery,Louisiana,Louisiana,South,LA
77,863,551,64.0,60.2,67.6,2017,Had a flu shot in the 12 months before delivery,Maine,Maine,Northeast,ME
78,1021,646,63.4,59.9,66.7,2017,Had a flu shot in the 12 months before delivery,Maryland,Maryland,South,MD
79,1403,1037,72.6,69.4,75.6,2017,Had a flu shot in the 12 months before delivery,Massachusetts,Massachusetts,Northeast,MA
80,1852,881,52.9,50.0,55.9,2017,Had a flu shot in the 12 months before delivery,Michigan,Michigan,Midwest,MI
81,1097,642,57.9,54.5,61.3,2017,Had a flu shot in the 12 months before delivery,Missouri,Missouri,Midwest,MO
82,928,592,62.8,59.7,65.9,2017,Had a flu shot in the 12 months before delivery,Montana,Montana,West,MT
83,578,406,70.2,65.4,74.7,2017,Had a flu shot in the 12 months before delivery,New Hampshire,New Hampshire,Northeast,NH
84,1206,606,51.9,48.9,54.9,2017,Had a flu shot in the 12 months before delivery,New Jersey,New Jersey,Northeast,NJ
85,1151,742,63.9,61.0,66.7,2017,Had a flu shot in the 12 months before delivery,New Mexico,New Mexico,West,NM
86,984,642,65.1,61.5,68.6,2017,Had a flu shot in the 12 months before delivery,North Carolina,North Carolina,South,NC
87,572,379,69.7,65.0,74.0,2017,Had a flu shot in the 12 months before delivery,North Dakota,North Dakota,Midwest,ND
88,1607,832,50.0,46.4,53.6,2017,Had a flu shot in the 12 months before delivery,Oklahoma,Oklahoma,South,OK
89,1203,723,59.0,55.6,62.2,2017,Had a flu shot in the 12 months before delivery,Pennsylvania,Pennsylvania,Northeast,PA
90,1079,816,75.4,72.4,78.3,2017,Had a flu shot in the 12 months before delivery,Rhode Island,Rhode Island,Northeast,RI
91,1112,810,74.2,71.1,77.0,2017,Had a flu shot in the 12 months before delivery,South Dakota,South Dakota,Midwest,SD
92,1427,856,60.7,57.4,63.9,2017,Had a flu shot in the 12 months before delivery,Utah,Utah,West,UT
93,822,584,70.2,66.8,73.4,2017,Had a flu shot in the 12 months before delivery,Vermont,Vermont,Northeast,VT
94,1053,703,64.7,59.8,69.3,2017,Had a flu shot in the 12 months before delivery,Virginia,Virginia,South,VA
95,1217,827,64.9,61.4,68.1,2017,Had a flu shot in the 12 months before delivery,Washington,Washington,West,WA
96,687,351,51.6,47.2,56.0,2017,Had a flu shot in the 12 months before delivery,West Virginia,West Virginia,South,WV
97,1319,803,66.3,62.4,70.0,2017,Had a flu shot in the 12 months before delivery,Wisconsin,Wisconsin,Midwest,WI
98,492,272,51.2,46.0,56.3,2017,Had a flu shot in the 12 months before delivery,Wyoming,Wyoming,West,WY
99,859,769,88.7,86.3,90.8,2017,Had maternal postpartum checkup,Alabama,Alabama,South,AL
100,1023,875,87.6,85.1,89.8,2017,Had maternal postpartum checkup,Alaska,Alaska,West,AK
101,1123,1028,91.7,89.7,93.3,2017,Had maternal postpartum checkup,Colorado,Colorado,West,CO
102,1441,1330,93.8,92.1,95.1,2017,Had maternal postpartum checkup,Connecticut,Connecticut,Northeast,CT
103,870,759,86.9,84.3,89.1,2017,Had maternal postpartum checkup,Delaware,Delaware,South,DE
104,939,864,91.0,87.9,93.3,2017,Had maternal postpartum checkup,Georgia,Georgia,South,GA
105,1209,1121,92.4,90.5,94.0,2017,Had maternal postpartum checkup,Illinois,Illinois,Midwest,IL
106,1008,924,94.2,91.7,95.9,2017,Had maternal postpartum checkup,Iowa,Iowa,Midwest,IA
107,984,885,89.4,86.5,91.8,2017,Had maternal postpartum checkup,Kansas,Kansas,Midwest,KS
108,688,610,89.3,85.9,91.9,2017,Had maternal postpartum checkup,Kentucky,Kentucky,South,KY
109,887,753,84.9,82.2,87.3,2017,Had maternal postpartum checkup,Louisiana,Louisiana,South,LA
110,865,800,93.7,91.6,95.3,2017,Had maternal postpartum checkup,Maine,Maine,Northeast,ME
111,1045,945,90.2,87.8,92.1,2017,Had maternal postpartum checkup,Maryland,Maryland,South,MD
112,1395,1263,92.4,90.7,93.8,2017,Had maternal postpartum checkup,Massachusetts,Massachusetts,Northeast,MA
113,1849,1642,91.3,89.5,92.8,2017,Had maternal postpartum checkup,Michigan,Michigan,Midwest,MI
114,1092,962,87.8,85.3,89.9,2017,Had maternal postpartum checkup,Missouri,Missouri,Midwest,MO
115,928,816,89.6,87.6,91.3,2017,Had maternal postpartum checkup,Montana,Montana,West,MT
116,578,540,95.1,92.4,96.9,2017,Had maternal postpartum checkup,New Hampshire,New Hampshire,Northeast,NH
117,1224,1079,89.4,87.4,91.0,2017,Had maternal postpartum checkup,New Jersey,New Jersey,Northeast,NJ
118,1166,1015,86.6,84.5,88.5,2017,Had maternal postpartum checkup,New Mexico,New Mexico,West,NM
119,965,890,92.8,90.6,94.6,2017,Had maternal postpartum checkup,North Carolina,North Carolina,South,NC
120,582,478,87.1,83.6,90.0,2017,Had maternal postpartum checkup,North Dakota,North Dakota,Midwest,ND
121,1612,1376,86.7,84.1,88.9,2017,Had maternal postpartum checkup,Oklahoma,Oklahoma,South,OK
122,1206,1090,90.5,88.3,92.3,2017,Had maternal postpartum checkup,Pennsylvania,Pennsylvania,Northeast,PA
123,1082,1008,92.5,90.4,94.2,2017,Had maternal postpartum checkup,Rhode Island,Rhode Island,Northeast,RI
124,1115,955,91.2,89.7,92.6,2017,Had maternal postpartum checkup,South Dakota,South Dakota,Midwest,SD
125,1418,1264,91.2,89.3,92.8,2017,Had maternal postpartum checkup,Utah,Utah,West,UT
126,830,791,93.7,91.4,95.4,2017,Had maternal postpartum checkup,Vermont,Vermont,Northeast,VT
127,1070,964,89.6,86.2,92.3,2017,Had maternal postpartum checkup,Virginia,Virginia,South,VA
128,1226,1085,89.9,87.6,91.8,2017,Had maternal postpartum checkup,Washington,Washington,West,WA
129,680,582,88.1,84.9,90.7,2017,Had maternal postpartum checkup,West Virginia,West Virginia,South,WV
130,1279,1167,94.2,92.2,95.7,2017,Had maternal postpartum checkup,Wisconsin,Wisconsin,Midwest,WI
131,495,447,92.8,89.7,95.0,2017,Had maternal postpartum checkup,Wyoming,Wyoming,West,WY
132,804,474,58.2,54.8,61.5,2018,Health care visit in the 12 months before pregnancy ,Alabama,Alabama,South,AL
133,998,633,66.1,62.6,69.4,2018,Health care visit in the 12 months before pregnancy ,Alaska,Alaska,West,AK
134,877,516,65.4,60.1,70.3,2018,Health care visit in the 12 months before pregnancy ,Arkansas,Arkansas,South,AR
135,1113,801,70.7,67.3,73.8,2018,Health care visit in the 12 months before pregnancy ,Colorado,Colorado,West,CO
136,1415,926,71.8,68.7,74.6,2018,Health care visit in the 12 months before pregnancy ,Connecticut,Connecticut,Northeast,CT
137,833,560,66.9,63.4,70.2,2018,Health care visit in the 12 months before pregnancy ,Delaware,Delaware,South,DE
138,762,415,57.7,53.1,62.1,2018,Health care visit in the 12 months before pregnancy ,Georgia,Georgia,South,GA
139,1298,947,72.8,70.0,75.4,2018,Health care visit in the 12 months before pregnancy ,Illinois,Illinois,Midwest,IL
140,856,546,68.4,64.2,72.3,2018,Health care visit in the 12 months before pregnancy ,Indiana,Indiana,Midwest,IN
141,846,491,71.1,66.3,75.6,2018,Health care visit in the 12 months before pregnancy ,Iowa,Iowa,Midwest,IA
142,968,686,68.4,64.3,72.2,2018,Health care visit in the 12 months before pregnancy ,Kansas,Kansas,Midwest,KS
143,749,490,67.7,63.1,72.0,2018,Health care visit in the 12 months before pregnancy ,Kentucky,Kentucky,South,KY
144,851,577,68.5,65.0,71.7,2018,Health care visit in the 12 months before pregnancy ,Louisiana,Louisiana,South,LA
145,810,638,76.9,73.2,80.3,2018,Health care visit in the 12 months before pregnancy ,Maine,Maine,Northeast,ME
146,1026,771,71.3,67.6,74.7,2018,Health care visit in the 12 months before pregnancy ,Maryland,Maryland,South,MD
147,1432,1055,80.2,77.7,82.4,2018,Health care visit in the 12 months before pregnancy ,Massachusetts,Massachusetts,Northeast,MA
148,1842,1172,68.7,65.9,71.3,2018,Health care visit in the 12 months before pregnancy ,Michigan,Michigan,Midwest,MI
149,1256,997,78.2,75.3,80.9,2018,Health care visit in the 12 months before pregnancy ,Minnesota,Minnesota,Midwest,MN
150,1201,733,59.5,56.0,62.9,2018,Health care visit in the 12 months before pregnancy ,Mississippi,Mississippi,South,MS
151,927,609,63.0,59.3,66.5,2018,Health care visit in the 12 months before pregnancy ,Missouri,Missouri,Midwest,MO
152,808,575,71.7,68.5,74.6,2018,Health care visit in the 12 months before pregnancy ,Montana,Montana,West,MT
153,1328,770,66.1,62.5,69.6,2018,Health care visit in the 12 months before pregnancy ,Nebraska,Nebraska,Midwest,NE
154,584,467,79.2,74.9,82.9,2018,Health care visit in the 12 months before pregnancy ,New Hampshire,New Hampshire,Northeast,NH
155,1175,700,61.9,59.0,64.7,2018,Health care visit in the 12 months before pregnancy ,New Jersey,New Jersey,Northeast,NJ
156,1199,656,54.3,51.5,57.0,2018,Health care visit in the 12 months before pregnancy ,New Mexico,New Mexico,West,NM
157,906,610,65.8,62.0,69.4,2018,Health care visit in the 12 months before pregnancy ,North Carolina,North Carolina,South,NC
158,878,545,67.0,63.2,70.7,2018,Health care visit in the 12 months before pregnancy ,North Dakota,North Dakota,Midwest,ND
159,1377,780,58.7,54.9,62.3,2018,Health care visit in the 12 months before pregnancy ,Oklahoma,Oklahoma,South,OK
160,1590,1046,70.3,66.6,73.7,2018,Health care visit in the 12 months before pregnancy ,Oregon,Oregon,West,OR
161,952,706,71.8,68.3,75.0,2018,Health care visit in the 12 months before pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
162,1093,799,72.8,69.6,75.7,2018,Health care visit in the 12 months before pregnancy ,Rhode Island,Rhode Island,Northeast,RI
163,996,637,69.2,65.9,72.3,2018,Health care visit in the 12 months before pregnancy ,South Dakota,South Dakota,Midwest,SD
164,1246,882,73.5,70.5,76.3,2018,Health care visit in the 12 months before pregnancy ,Utah,Utah,West,UT
165,874,700,79.2,76.2,81.8,2018,Health care visit in the 12 months before pregnancy ,Vermont,Vermont,Northeast,VT
166,1135,767,65.6,60.7,70.2,2018,Health care visit in the 12 months before pregnancy ,Virginia,Virginia,South,VA
167,1128,727,67.3,64.0,70.4,2018,Health care visit in the 12 months before pregnancy ,Washington,Washington,West,WA
168,673,397,57.1,52.6,61.5,2018,Health care visit in the 12 months before pregnancy ,West Virginia,West Virginia,South,WV
169,1051,713,76.2,72.7,79.4,2018,Health care visit in the 12 months before pregnancy ,Wisconsin,Wisconsin,Midwest,WI
170,539,347,64.5,59.4,69.2,2018,Health care visit in the 12 months before pregnancy ,Wyoming,Wyoming,West,WY
171,795,670,83.2,80.3,85.7,2018,Began prenatal care in 1st trimester,Alabama,Alabama,South,AL
172,978,817,83.2,80.2,85.8,2018,Began prenatal care in 1st trimester,Alaska,Alaska,West,AK
173,864,718,85.9,81.9,89.1,2018,Began prenatal care in 1st trimester,Arkansas,Arkansas,South,AR
174,1106,994,90.0,87.6,92.0,2018,Began prenatal care in 1st trimester,Colorado,Colorado,West,CO
175,1384,1242,92.5,90.6,94.0,2018,Began prenatal care in 1st trimester,Connecticut,Connecticut,Northeast,CT
176,838,691,82.5,79.6,85.1,2018,Began prenatal care in 1st trimester,Delaware,Delaware,South,DE
177,746,623,84.5,80.8,87.6,2018,Began prenatal care in 1st trimester,Georgia,Georgia,South,GA
178,1294,1136,88.5,86.4,90.3,2018,Began prenatal care in 1st trimester,Illinois,Illinois,Midwest,IL
179,851,686,81.7,78.0,84.9,2018,Began prenatal care in 1st trimester,Indiana,Indiana,Midwest,IN
180,830,677,86.0,81.9,89.3,2018,Began prenatal care in 1st trimester,Iowa,Iowa,Midwest,IA
181,965,851,86.8,83.6,89.5,2018,Began prenatal care in 1st trimester,Kansas,Kansas,Midwest,KS
182,735,637,89.2,85.8,91.8,2018,Began prenatal care in 1st trimester,Kentucky,Kentucky,South,KY
183,829,712,87.3,84.9,89.5,2018,Began prenatal care in 1st trimester,Louisiana,Louisiana,South,LA
184,810,722,90.2,87.5,92.4,2018,Began prenatal care in 1st trimester,Maine,Maine,Northeast,ME
185,1010,842,82.8,79.6,85.6,2018,Began prenatal care in 1st trimester,Maryland,Maryland,South,MD
186,1406,1248,90.1,87.9,91.9,2018,Began prenatal care in 1st trimester,Massachusetts,Massachusetts,Northeast,MA
187,1809,1516,86.6,84.6,88.5,2018,Began prenatal care in 1st trimester,Michigan,Michigan,Midwest,MI
188,1243,1134,91.3,89.2,93.1,2018,Began prenatal care in 1st trimester,Minnesota,Minnesota,Midwest,MN
189,1187,987,84.0,81.2,86.5,2018,Began prenatal care in 1st trimester,Mississippi,Mississippi,South,MS
190,920,791,85.2,82.3,87.7,2018,Began prenatal care in 1st trimester,Missouri,Missouri,Midwest,MO
191,803,699,87.5,85.1,89.6,2018,Began prenatal care in 1st trimester,Montana,Montana,West,MT
192,1305,1102,89.5,87.2,91.4,2018,Began prenatal care in 1st trimester,Nebraska,Nebraska,Midwest,NE
193,572,539,94.0,91.1,96.0,2018,Began prenatal care in 1st trimester,New Hampshire,New Hampshire,Northeast,NH
194,1144,955,86.0,83.9,87.8,2018,Began prenatal care in 1st trimester,New Jersey,New Jersey,Northeast,NJ
195,1190,1016,85.1,82.9,87.0,2018,Began prenatal care in 1st trimester,New Mexico,New Mexico,West,NM
196,905,776,85.1,81.9,87.8,2018,Began prenatal care in 1st trimester,North Carolina,North Carolina,South,NC
197,859,711,86.1,83.0,88.7,2018,Began prenatal care in 1st trimester,North Dakota,North Dakota,Midwest,ND
198,1361,1120,84.0,81.1,86.5,2018,Began prenatal care in 1st trimester,Oklahoma,Oklahoma,South,OK
199,1571,1376,91.6,89.4,93.4,2018,Began prenatal care in 1st trimester,Oregon,Oregon,West,OR
200,926,819,87.1,84.4,89.5,2018,Began prenatal care in 1st trimester,Pennsylvania,Pennsylvania,Northeast,PA
201,1081,980,90.7,88.5,92.6,2018,Began prenatal care in 1st trimester,Rhode Island,Rhode Island,Northeast,RI
202,1002,835,83.3,80.4,85.8,2018,Began prenatal care in 1st trimester,South Dakota,South Dakota,Midwest,SD
203,1213,1069,88.9,86.6,90.9,2018,Began prenatal care in 1st trimester,Utah,Utah,West,UT
204,849,780,91.0,88.8,92.9,2018,Began prenatal care in 1st trimester,Vermont,Vermont,Northeast,VT
205,1126,1011,90.6,87.4,93.1,2018,Began prenatal care in 1st trimester,Virginia,Virginia,South,VA
206,1121,990,89.0,86.5,91.0,2018,Began prenatal care in 1st trimester,Washington,Washington,West,WA
207,661,570,85.5,81.8,88.5,2018,Began prenatal care in 1st trimester,West Virginia,West Virginia,South,WV
208,1033,870,86.3,83.1,89.0,2018,Began prenatal care in 1st trimester,Wisconsin,Wisconsin,Midwest,WI
209,543,474,87.7,83.9,90.7,2018,Began prenatal care in 1st trimester,Wyoming,Wyoming,West,WY
210,795,389,46.5,43.0,50.1,2018,Had a flu shot in the 12 months before delivery,Alabama,Alabama,South,AL
211,978,600,60.9,57.3,64.5,2018,Had a flu shot in the 12 months before delivery,Alaska,Alaska,West,AK
212,876,464,60.3,55.0,65.4,2018,Had a flu shot in the 12 months before delivery,Arkansas,Arkansas,South,AR
213,1112,778,71.8,68.6,74.8,2018,Had a flu shot in the 12 months before delivery,Colorado,Colorado,West,CO
214,1412,980,70.2,67.0,73.3,2018,Had a flu shot in the 12 months before delivery,Connecticut,Connecticut,Northeast,CT
215,828,501,60.2,56.7,63.7,2018,Had a flu shot in the 12 months before delivery,Delaware,Delaware,South,DE
216,751,312,40.4,35.9,45.0,2018,Had a flu shot in the 12 months before delivery,Georgia,Georgia,South,GA
217,1292,778,61.1,58.2,64.0,2018,Had a flu shot in the 12 months before delivery,Illinois,Illinois,Midwest,IL
218,854,483,55.6,51.2,60.0,2018,Had a flu shot in the 12 months before delivery,Indiana,Indiana,Midwest,IN
219,825,576,74.6,69.7,79.0,2018,Had a flu shot in the 12 months before delivery,Iowa,Iowa,Midwest,IA
220,959,650,68.1,64.1,71.8,2018,Had a flu shot in the 12 months before delivery,Kansas,Kansas,Midwest,KS
221,737,389,49.0,44.3,53.8,2018,Had a flu shot in the 12 months before delivery,Kentucky,Kentucky,South,KY
222,841,375,46.3,42.7,50.0,2018,Had a flu shot in the 12 months before delivery,Louisiana,Louisiana,South,LA
223,807,513,63.4,59.3,67.3,2018,Had a flu shot in the 12 months before delivery,Maine,Maine,Northeast,ME
224,1011,649,64.0,60.2,67.6,2018,Had a flu shot in the 12 months before delivery,Maryland,Maryland,South,MD
225,1406,1074,76.1,73.1,78.9,2018,Had a flu shot in the 12 months before delivery,Massachusetts,Massachusetts,Northeast,MA
226,1822,860,51.4,48.4,54.3,2018,Had a flu shot in the 12 months before delivery,Michigan,Michigan,Midwest,MI
227,1254,870,69.6,66.5,72.5,2018,Had a flu shot in the 12 months before delivery,Minnesota,Minnesota,Midwest,MN
228,1189,516,45.4,41.9,48.9,2018,Had a flu shot in the 12 months before delivery,Mississippi,Mississippi,South,MS
229,925,553,60.6,56.9,64.1,2018,Had a flu shot in the 12 months before delivery,Missouri,Missouri,Midwest,MO
230,799,511,62.5,59.1,65.7,2018,Had a flu shot in the 12 months before delivery,Montana,Montana,West,MT
231,1308,939,70.8,67.1,74.3,2018,Had a flu shot in the 12 months before delivery,Nebraska,Nebraska,Midwest,NE
232,581,424,70.3,65.7,74.5,2018,Had a flu shot in the 12 months before delivery,New Hampshire,New Hampshire,Northeast,NH
233,1159,620,54.0,50.9,57.1,2018,Had a flu shot in the 12 months before delivery,New Jersey,New Jersey,Northeast,NJ
234,1195,768,63.1,60.3,65.9,2018,Had a flu shot in the 12 months before delivery,New Mexico,New Mexico,West,NM
235,899,575,62.1,58.3,65.8,2018,Had a flu shot in the 12 months before delivery,North Carolina,North Carolina,South,NC
236,867,601,68.8,65.0,72.5,2018,Had a flu shot in the 12 months before delivery,North Dakota,North Dakota,Midwest,ND
237,1365,771,57.2,53.4,60.9,2018,Had a flu shot in the 12 months before delivery,Oklahoma,Oklahoma,South,OK
238,1570,1104,68.8,64.9,72.4,2018,Had a flu shot in the 12 months before delivery,Oregon,Oregon,West,OR
239,951,553,55.9,52.2,59.6,2018,Had a flu shot in the 12 months before delivery,Pennsylvania,Pennsylvania,Northeast,PA
240,1068,796,74.5,71.3,77.4,2018,Had a flu shot in the 12 months before delivery,Rhode Island,Rhode Island,Northeast,RI
241,995,731,74.7,71.5,77.7,2018,Had a flu shot in the 12 months before delivery,South Dakota,South Dakota,Midwest,SD
242,1216,766,64.7,61.3,68.0,2018,Had a flu shot in the 12 months before delivery,Utah,Utah,West,UT
243,855,589,67.6,64.3,70.8,2018,Had a flu shot in the 12 months before delivery,Vermont,Vermont,Northeast,VT
244,1126,739,57.1,52.2,61.9,2018,Had a flu shot in the 12 months before delivery,Virginia,Virginia,South,VA
245,1120,772,66.8,63.3,70.1,2018,Had a flu shot in the 12 months before delivery,Washington,Washington,West,WA
246,675,366,56.9,52.4,61.2,2018,Had a flu shot in the 12 months before delivery,West Virginia,West Virginia,South,WV
