,Demographic Group,Population,Period,Estimate,Lower CI,Upper CI
159,Race/Ethnicity (of mother),American Indian or Alaska Native only,2022,61.8,61.3,62.3
160,Race/Ethnicity (of mother),Asian only,2022,77.2,77.0,77.3
161,Race/Ethnicity (of mother),Native Hawaiian or Other Pacific Islander only,2022,50.4,49.5,51.2
162,Race/Ethnicity (of mother),Black or African American only,2022,66.8,66.7,66.9
163,Race/Ethnicity (of mother),White only,2022,76.8,76.8,76.9
164,Race/Ethnicity (of mother),2 or more races,2022,71.9,71.6,72.2
165,Race/Ethnicity (of mother),Hispanic or Latino,2022,68.5,68.4,68.6
166,Race/Ethnicity (of mother),Not Hispanic or Latino,2022,77.2,77.1,77.2
167,Race/Ethnicity (of mother),Not Hispanic or Latino: American Indian or Alaska Native only,2022,60.8,60.2,61.4
168,Race/Ethnicity (of mother),Not Hispanic or Latino: Asian only,2022,77.5,77.3,77.7
169,Race/Ethnicity (of mother),Not Hispanic or Latino: Native Hawaiian or Other Pacific Islander only,2022,45.8,44.8,46.8
170,Race/Ethnicity (of mother),Not Hispanic or Latino: Black or African American only,2022,66.9,66.7,67.0
171,Race/Ethnicity (of mother),Not Hispanic or Latino: White only,2022,80.6,80.5,80.7
172,Race/Ethnicity (of mother),Not Hispanic or Latino: 2 or more races,2022,72.4,72.1,72.7
173,Age group (of mother),less than 15 years,2022,37.8,35.5,40.1
174,Age group (of mother),15-19 years,2022,60.5,60.2,60.7
175,Age group (of mother),20-24 years,2022,69.3,69.2,69.5
176,Age group (of mother),25-29 years,2022,75,75.0,75.1
177,Age group (of mother),30-34 years,2022,77.9,77.8,78.0
178,Age group (of mother),35 years and over,2022,77.8,77.7,77.9
179,"Educational attainment (of mother, 20 years and over)",Less than High school,2022,57.5,57.4,57.7
180,"Educational attainment (of mother, 20 years and over)",High school,2022,70.5,70.4,70.6
181,"Educational attainment (of mother, 20 years and over)",Some college or Associate degree,2022,77.2,77.1,77.3
182,"Educational attainment (of mother, 20 years and over)",4-year college degree or more,2022,82.8,82.7,82.9
185,Geographic location,Metropolitan,2022,74.7,74.6,74.7
186,Geographic location,Non-metropolitan,2022,76.3,76.2,76.4
189,Country of birth (of mother),US,2022,77.1,77.1,77.1
190,Country of birth (of mother),Outside US,2022,67.6,67.5,67.7
